timestamp,velocity_x,velocity_y,velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,control_steer
18155915.2,0.013030082,4.750083923,0.06150445,0.087360874,-0.000335549,-0.000322282,-3.45E-06
18155915.28,0.013031258,4.752197266,0.066685051,0.187947169,-0.000498564,-0.000126131,-1.07E-06
18155915.37,0.013029622,4.751275063,0.069227986,0.210812926,-0.00048057,-0.00010948,-1.07E-06
18155915.49,0.013025681,4.749145031,0.067537017,0.21574679,-0.0006682,-0.00010961,-1.07E-06
18155915.56,0.013018295,4.746107578,0.066107236,0.215787798,-0.000534366,-0.000107856,-1.07E-06
18155915.66,0.013012219,4.743775368,0.068157129,0.215581596,-0.000619169,-0.000109315,-1.07E-06
18155915.77,0.01300352,4.740526199,0.065565087,0.215618759,-0.000663053,-0.000110423,-1.07E-06
18155915.87,0.012994328,4.737076759,0.067626245,0.124863565,-0.000288047,-0.000107757,-1.07E-06
18155915.87,0.012994328,4.737076759,0.067626245,0.124863565,-0.000288047,-0.000107757,-1.07E-06
18155915.94,0.012985725,4.733539104,0.069599316,0.010587267,-3.21E-05,-0.000108108,-1.07E-06
18155915.94,0.012985725,4.733539104,0.069599316,0.010587267,-3.21E-05,-0.000108108,-1.07E-06
18155916.01,0.012979669,4.731176376,0.071798988,-0.017038023,4.86E-05,-0.000107727,-1.07E-06
18155916.01,0.012979669,4.731176376,0.071798988,-0.017038023,4.86E-05,-0.000107727,-1.07E-06
18155916.11,0.012973404,4.728955746,0.070722237,-0.025405519,0.000118668,-0.000107086,-1.07E-06
18155916.19,0.01298913,4.738562107,0.068787098,0.025534421,7.65E-06,0.000210878,2.39E-06
18155916.26,0.013029282,4.751497746,0.070422046,0.045822244,-0.000130952,3.30E-05,1.07E-09
18155916.36,0.013053018,4.760281086,0.070229881,0.032156549,-0.000137032,5.04E-06,1.07E-09
18155916.44,0.01307648,4.76869154,0.069201156,0.009087886,-5.93E-05,4.56E-07,1.07E-09
18155916.53,0.013092473,4.774396896,0.071102224,-0.003703793,-7.70E-06,-4.29E-07,1.07E-09
18155916.53,0.013092473,4.774396896,0.071102224,-0.003703793,-7.70E-06,-4.29E-07,1.07E-09
18155916.63,0.013104801,4.779051304,0.069289468,-0.009501324,6.09E-06,-8.44E-07,1.07E-09
18155916.63,0.013104801,4.779051304,0.069289468,-0.009501324,6.09E-06,-8.44E-07,1.07E-09
18155916.69,0.01311912,4.784268379,0.06974753,-0.011102326,2.00E-05,-1.06E-06,1.07E-09
18155916.77,0.013127294,4.78352356,0.071210057,-0.028128952,-7.23E-05,-0.000277424,-3.46E-06
18155916.89,0.013110593,4.778725147,0.069709815,-0.042155333,8.27E-05,-0.000131134,-1.07E-06
18155916.99,0.013103111,4.775249481,0.069906212,-0.030580409,1.00E-04,-0.000110743,-1.07E-06
18155917.07,0.013099147,4.773068905,0.070106715,-0.016631262,2.45E-05,-0.000109349,-1.07E-06
18155917.13,0.013069451,4.767845154,0.071137153,-0.023742149,0.000224066,0.000358657,4.11E-06
18155917.2,0.013062607,4.763123512,0.071011193,-0.026890375,4.34E-06,0.000132585,5.37E-07
18155917.29,0.013050215,4.758365631,0.069669105,-0.020299947,3.54E-05,6.84E-05,5.37E-07
18155917.37,0.013035703,4.753309727,0.068505436,-0.008675149,-3.56E-05,5.54E-05,5.37E-07
18155917.45,0.013027566,4.750065804,0.070059754,-0.002039369,-0.000111633,5.37E-05,5.37E-07
18155917.55,0.013018804,4.74681282,0.06844978,0.002227575,-9.76E-06,5.46E-05,5.37E-07
18155917.62,0.013009186,4.743313313,0.069503218,0.004493013,-4.54E-05,5.39E-05,5.37E-07
18155917.68,0.013002754,4.74102354,0.071378045,0.00501339,-1.18E-05,5.38E-05,5.38E-07
18155917.78,0.01299716,4.738962173,0.06804958,0.004792399,-2.60E-05,5.42E-05,5.38E-07
18155917.88,0.012989155,4.736011028,0.069208197,0.004346563,-8.57E-05,5.29E-05,5.38E-07
18155917.96,0.012981524,4.733175755,0.069210552,0.003775437,4.33E-05,5.50E-05,5.38E-07
18155918.03,0.012975842,4.731115341,0.070349507,0.003321823,-3.75E-05,5.42E-05,5.38E-07
18155918.1,0.012987574,4.730163097,0.070975415,0.006562804,-0.000244992,-0.000372873,-4.65E-06
18155918.16,0.01299799,4.736318111,0.069195531,0.037552163,-4.16E-06,-0.000150298,-1.07E-06
18155918.26,0.013023515,4.745370388,0.068482891,0.054772284,-0.000110369,-0.000117269,-1.07E-06
18155918.34,0.01305318,4.75596714,0.068776757,0.04021747,-0.000111887,-0.000109786,-1.07E-06
18155918.43,0.013072587,4.762434006,0.070229478,0.023254991,-9.01E-05,-0.000109196,-1.07E-06
18155918.51,0.013090195,4.76860714,0.070785925,0.009458169,-0.000109017,-0.000110553,-1.07E-06
18155918.59,0.013104925,4.773685932,0.069425628,0.001900378,4.81E-05,-0.000108263,-1.07E-06
18155918.71,0.013118451,4.778727055,0.06926962,-0.002171431,-3.50E-05,-0.000110306,-1.07E-06
18155918.79,0.013134435,4.784548759,0.069996037,-0.003913858,1.81E-05,-0.000109499,-1.07E-06
18155918.87,0.013145407,4.788572311,0.072010346,-0.003950905,4.76E-05,-0.000109131,-1.07E-06
18155918.94,0.013140881,4.787032127,0.070611186,-0.029954586,0.000142901,-0.000108557,-1.07E-06
18155919.03,0.013130035,4.782717705,0.068635754,-0.041602772,0.000102042,-0.000109194,-1.07E-06
18155919.13,0.013096414,4.774352551,0.069573455,-0.048447654,0.000197384,0.000210998,2.38E-06
18155919.19,0.013076856,4.765501499,0.069793977,-0.037038103,4.47E-06,1.72E-05,-1.19E-10
18155919.27,0.013065989,4.761558533,0.069690935,-0.022043316,-3.03E-05,2.08E-06,-1.19E-10
18155919.35,0.013056071,4.758085728,0.070544563,-0.007775492,-3.65E-05,-7.29E-07,-1.19E-10
18155919.43,0.013064883,4.75743866,0.069701694,0.010589065,-0.000251158,-0.000303558,-3.46E-06
18155919.5,0.013064185,4.758685589,0.070464231,0.020338595,-1.33E-05,-0.000131673,-1.07E-06
18155919.58,0.013065575,4.759169102,0.068308942,0.018552236,-8.84E-05,-0.000114201,-1.07E-06
18155919.64,0.013066476,4.759439468,0.069652535,0.013891422,1.05E-05,-0.000108398,-1.07E-06
18155919.71,0.013066718,4.759568214,0.071310073,0.010045486,-7.29E-05,-0.000110259,-1.07E-06
18155919.77,0.013067001,4.759681702,0.068268426,0.007030361,1.72E-05,-0.000108652,-1.07E-06
18155919.87,0.013066999,4.759738922,0.06886325,0.004874158,-1.43E-05,-0.000109153,-1.07E-06
18155919.93,0.01306761,4.759848595,0.069826365,0.002888259,6.57E-05,-0.000108196,-1.07E-06
18155920.03,0.013067839,4.759949684,0.069960259,0.002121562,2.84E-05,-0.000108726,-1.07E-06
18155920.1,0.013068278,4.76015377,0.06958928,0.001358703,2.79E-05,-0.000108556,-1.07E-06
18155920.16,0.013069157,4.760310173,0.07011392,0.00118285,2.55E-05,-0.000108353,-1.07E-06
18155920.24,0.013069402,4.760487556,0.070718572,0.001060545,-2.29E-05,-0.000109658,-1.07E-06
18155920.3,0.013069956,4.764404297,0.069344327,0.016206875,7.31E-05,0.000197645,2.38E-06
18155920.39,0.013097603,4.769225121,0.06998194,0.023009121,-0.00024781,-0.000242792,-3.46E-06
18155920.46,0.013107557,4.773994446,0.070957229,0.016752297,-9.56E-05,-0.000125919,-1.07E-06
18155920.55,0.013117029,4.777310848,0.070137694,0.009813141,-2.69E-05,-0.000111807,-1.07E-06
18155920.63,0.013126826,4.780777454,0.070010126,0.00365485,1.75E-05,-0.00010923,-1.07E-06
18155920.7,0.013135167,4.78379488,0.068746254,0.000208354,1.39E-05,-0.000109548,-1.08E-06
18155920.77,0.013141494,4.786098957,0.069544792,-0.001219666,1.01E-06,-0.000109402,-1.08E-06
18155920.86,0.013148759,4.788749695,0.070745066,-0.001906348,2.77E-05,-0.000109583,-1.08E-06
18155920.95,0.013156527,4.791610241,0.071221724,-0.001925526,-1.93E-05,-0.000110549,-1.08E-06
18155921.02,0.013165006,4.794790268,0.069546215,-0.001780348,2.75E-05,-0.00010918,-1.08E-06
18155921.12,0.013170499,4.796923161,0.069682553,-0.001534813,1.43E-05,-0.000109982,-1.08E-06
18155921.2,0.013179822,4.800212383,0.069993727,-0.001177132,1.60E-05,-0.000110586,-1.08E-06
18155921.33,0.013186647,4.802828312,0.070867345,-0.00085055,3.50E-06,-0.000110437,-1.08E-06
18155921.43,0.013195737,4.806089401,0.070316456,-0.000663708,4.48E-05,-0.000109802,-1.08E-06
